"","state","pollster","start.date","end.date","entry.date.time..et.","number.of.observations","population","mode","trump","clinton","other","undecided","pollster.url","source.url","partisan","affiliation","question.text","question.iteration","johnson","mcmullin"
"11","--","Bloomberg/Selzer","2016-11-04","2016-11-06","2016-11-07T12:18:47Z",799,"Likely Voters","Live Phone",43,46,5,6,"http://elections.huffingtonpost.com/pollster/polls/bloomberg-selzer-26771","https://assets.bwbx.io/documents/users/iqjWHBFdfxIU/rklCDpOEK78Q/v0","Nonpartisan","None","If the general election were held today, and the candidates were Hillary Clinton for the Democrats and Donald Trump for the Republicans, for whom would you vote?",1,NA,NA
"12","--","Bloomberg/Selzer","2016-11-04","2016-11-06","2016-11-07T12:18:47Z",NA,"Likely Voters - Democrat","Live Phone",6,86,3,5,"http://elections.huffingtonpost.com/pollster/polls/bloomberg-selzer-26771","https://assets.bwbx.io/documents/users/iqjWHBFdfxIU/rklCDpOEK78Q/v0","Nonpartisan","None","If the general election were held today, and the candidates were Hillary Clinton for the Democrats and Donald Trump for the Republicans, for whom would you vote?",1,NA,NA
"13","--","Bloomberg/Selzer","2016-11-04","2016-11-06","2016-11-07T12:18:47Z",NA,"Likely Voters - Republican","Live Phone",85,5,6,4,"http://elections.huffingtonpost.com/pollster/polls/bloomberg-selzer-26771","https://assets.bwbx.io/documents/users/iqjWHBFdfxIU/rklCDpOEK78Q/v0","Nonpartisan","None","If the general election were held today, and the candidates were Hillary Clinton for the Democrats and Donald Trump for the Republicans, for whom would you vote?",1,NA,NA
"14","--","Bloomberg/Selzer","2016-11-04","2016-11-06","2016-11-07T12:18:47Z",NA,"Likely Voters - independent","Live Phone",44,38,10,8,"http://elections.huffingtonpost.com/pollster/polls/bloomberg-selzer-26771","https://assets.bwbx.io/documents/users/iqjWHBFdfxIU/rklCDpOEK78Q/v0","Nonpartisan","None","If the general election were held today, and the candidates were Hillary Clinton for the Democrats and Donald Trump for the Republicans, for whom would you vote?",1,NA,NA
"15","--","Bloomberg/Selzer","2016-11-04","2016-11-06","2016-11-07T12:18:47Z",799,"Likely Voters","Live Phone",41,44,2,8,"http://elections.huffingtonpost.com/pollster/polls/bloomberg-selzer-26771","https://assets.bwbx.io/documents/users/iqjWHBFdfxIU/rklCDpOEK78Q/v0","Nonpartisan","None","If the general election were held today, and the candidates were Hillary Clinton for the Democrats, Donald Trump for the Republicans, Gary Johnson for the Libertarian Party, and Jill Stein for the Green Party, for whom would you vote?",2,NA,NA
"16","--","ABC/Post","2016-11-03","2016-11-06","2016-11-07T20:19:38Z",2220,"Likely Voters","Live Phone",43,47,4,1,"http://elections.huffingtonpost.com/pollster/polls/abc-post-26799","https://www.washingtonpost.com/news/the-fix/wp/2016/11/07/post-abc-tracking-poll-clinton-47-trump-43-on-election-eve/","Nonpartisan","None","",1,NA,NA
"17","--","Monmouth University","2016-11-03","2016-11-06","2016-11-07T16:02:39Z",748,"Likely Voters","Live Phone",44,50,3,1,"http://elections.huffingtonpost.com/pollster/polls/monmouth-university-26790","https://www.monmouth.edu/polling-institute/reports/MonmouthPoll_US_110716/","Nonpartisan","None","If the election for President was today, would you vote for Donald Trump the Republican, Hillary Clinton the Democrat, Gary Johnson the Libertarian, or Jill Stein of the Green Party?",1,NA,NA
"18","--","FOX","2016-11-03","2016-11-06","2016-11-07T15:12:41Z",1295,"Likely Voters","Live Phone",44,48,4,1,"http://elections.huffingtonpost.com/pollster/polls/fox-26784","http://www.foxnews.com/politics/2016/11/07/fox-news-poll-results-11716.html","Nonpartisan","None","",1,NA,NA
"19","--","FOX","2016-11-03","2016-11-06","2016-11-07T15:12:41Z",NA,"Likely Voters - Democrat","Live Phone",4,91,3,0,"http://elections.huffingtonpost.com/pollster/polls/fox-26784","http://www.foxnews.com/politics/2016/11/07/fox-news-poll-results-11716.html","Nonpartisan","None","",1,NA,NA
"20","--","FOX","2016-11-03","2016-11-06","2016-11-07T15:12:41Z",NA,"Likely Voters - Republican","Live Phone",86,9,3,1,"http://elections.huffingtonpost.com/pollster/polls/fox-26784","http://www.foxnews.com/politics/2016/11/07/fox-news-poll-results-11716.html","Nonpartisan","None","",1,NA,NA
"21","--","FOX","2016-11-03","2016-11-06","2016-11-07T15:12:41Z",NA,"Likely Voters - independent","Live Phone",42,36,9,5,"http://elections.huffingtonpost.com/pollster/polls/fox-26784","http://www.foxnews.com/politics/2016/11/07/fox-news-poll-results-11716.html","Nonpartisan","None","",1,NA,NA
"22","--","Ipsos/Reuters","2016-11-02","2016-11-06","2016-11-08T12:06:14Z",2195,"Likely Voters","Internet",39,44,9,8,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26810","http://www.ipsos-na.com/download/pr.aspx?id=16119","Nonpartisan","None","If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?",1,NA,NA
"23","--","Ipsos/Reuters","2016-11-02","2016-11-06","2016-11-08T12:06:14Z",NA,"Likely Voters - Democrat","Internet",7,84,5,5,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26810","http://www.ipsos-na.com/download/pr.aspx?id=16119","Nonpartisan","None","If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?",1,NA,NA
"24","--","Ipsos/Reuters","2016-11-02","2016-11-06","2016-11-08T12:06:14Z",NA,"Likely Voters - Republican","Internet",81,6,7,7,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26810","http://www.ipsos-na.com/download/pr.aspx?id=16119","Nonpartisan","None","If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?",1,NA,NA
"25","--","Ipsos/Reuters","2016-11-02","2016-11-06","2016-11-08T12:06:14Z",NA,"Likely Voters - independent","Internet",24,29,28,19,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26810","http://www.ipsos-na.com/download/pr.aspx?id=16119","Nonpartisan","None","If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?",1,NA,NA
"26","--","Ipsos/Reuters","2016-11-02","2016-11-06","2016-11-08T12:06:14Z",2195,"Likely Voters","Internet",39,42,6,7,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26810","http://www.ipsos-na.com/download/pr.aspx?id=16119","Nonpartisan","None","If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?",2,NA,NA
"27","--","Ipsos/Reuters","2016-11-02","2016-11-06","2016-11-08T12:06:14Z",NA,"Likely Voters - Democrat","Internet",7,81,3,4,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26810","http://www.ipsos-na.com/download/pr.aspx?id=16119","Nonpartisan","None","If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?",2,NA,NA
"28","--","Ipsos/Reuters","2016-11-02","2016-11-06","2016-11-08T12:06:14Z",NA,"Likely Voters - Republican","Internet",81,6,3,5,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26810","http://www.ipsos-na.com/download/pr.aspx?id=16119","Nonpartisan","None","If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?",2,NA,NA
"29","--","Ipsos/Reuters","2016-11-02","2016-11-06","2016-11-08T12:06:14Z",NA,"Likely Voters - independent","Internet",24,28,16,17,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26810","http://www.ipsos-na.com/download/pr.aspx?id=16119","Nonpartisan","None","If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?",2,NA,NA
"30","--","Rasmussen","2016-11-02","2016-11-06","2016-11-07T13:46:46Z",1500,"Likely Voters","IVR/Online",43,45,5,4,"http://elections.huffingtonpost.com/pollster/polls/rasmussen-26781","http://www.rasmussenreports.com/platinum/political_tracking_crosstabs/november_2016/crosstabs_election_2016_white_house_watch_november_2_3_6_2016","Nonpartisan","None","If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?",1,NA,NA
"31","--","CBS/Times","2016-11-02","2016-11-06","2016-11-07T13:16:02Z",1426,"Likely Voters","Live Phone",43,47,5,5,"http://elections.huffingtonpost.com/pollster/polls/cbs-times-26778","http://www.cbsnews.com/news/cbs-news-poll-state-of-the-race-the-day-before-election-day/","Nonpartisan","None","",1,NA,NA
"32","--","CBS/Times","2016-11-02","2016-11-06","2016-11-07T13:16:02Z",NA,"Likely Voters - Democrat","Live Phone",7,88,1,4,"http://elections.huffingtonpost.com/pollster/polls/cbs-times-26778","http://www.cbsnews.com/news/cbs-news-poll-state-of-the-race-the-day-before-election-day/","Nonpartisan","None","",1,NA,NA
"33","--","CBS/Times","2016-11-02","2016-11-06","2016-11-07T13:16:02Z",NA,"Likely Voters - Republican","Live Phone",86,6,5,3,"http://elections.huffingtonpost.com/pollster/polls/cbs-times-26778","http://www.cbsnews.com/news/cbs-news-poll-state-of-the-race-the-day-before-election-day/","Nonpartisan","None","",1,NA,NA
"34","--","CBS/Times","2016-11-02","2016-11-06","2016-11-07T13:16:02Z",NA,"Likely Voters - independent","Live Phone",42,41,8,9,"http://elections.huffingtonpost.com/pollster/polls/cbs-times-26778","http://www.cbsnews.com/news/cbs-news-poll-state-of-the-race-the-day-before-election-day/","Nonpartisan","None","",1,NA,NA
"35","--","CBS/Times","2016-11-02","2016-11-06","2016-11-07T13:16:02Z",1426,"Likely Voters","Live Phone",41,45,4,5,"http://elections.huffingtonpost.com/pollster/polls/cbs-times-26778","http://www.cbsnews.com/news/cbs-news-poll-state-of-the-race-the-day-before-election-day/","Nonpartisan","None","",2,NA,NA
"36","--","CBS/Times","2016-11-02","2016-11-06","2016-11-07T13:16:02Z",NA,"Likely Voters - Democrat","Live Phone",6,85,3,4,"http://elections.huffingtonpost.com/pollster/polls/cbs-times-26778","http://www.cbsnews.com/news/cbs-news-poll-state-of-the-race-the-day-before-election-day/","Nonpartisan","None","",2,NA,NA
"37","--","CBS/Times","2016-11-02","2016-11-06","2016-11-07T13:16:02Z",NA,"Likely Voters - Republican","Live Phone",84,6,3,2,"http://elections.huffingtonpost.com/pollster/polls/cbs-times-26778","http://www.cbsnews.com/news/cbs-news-poll-state-of-the-race-the-day-before-election-day/","Nonpartisan","None","",2,NA,NA
"38","--","CBS/Times","2016-11-02","2016-11-06","2016-11-07T13:16:02Z",NA,"Likely Voters - independent","Live Phone",40,38,7,8,"http://elections.huffingtonpost.com/pollster/polls/cbs-times-26778","http://www.cbsnews.com/news/cbs-news-poll-state-of-the-race-the-day-before-election-day/","Nonpartisan","None","",2,NA,NA
"39","--","UPI/CVOTER","2016-10-31","2016-11-06","2016-11-07T15:40:06Z",1625,"Likely Voters","Internet",46,49,5,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26785","https://www.documentcloud.org/documents/3214996-UPI-CVoter-7-Nov-2016.html","Nonpartisan","None","",1,NA,NA
"40","--","NBC/SurveyMonkey","2016-10-31","2016-11-06","2016-11-07T12:04:56Z",70194,"Likely Voters","Internet",44,51,NA,5,"http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-26770","https://www.scribd.com/document/330243723/NBC-News-SurveyMonkey-Toplines-and-Methodology-1031-11-6?secret_password=RZmAhM5A4ukrIpXPn0p8","Nonpartisan","None","If the 2016 presidential election were being held today among the following candidates, for whom would you vote?",1,NA,NA
"41","--","NBC/SurveyMonkey","2016-10-31","2016-11-06","2016-11-07T12:04:56Z",70194,"Likely Voters","Internet",41,47,3,2,"http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-26770","https://www.scribd.com/document/330243723/NBC-News-SurveyMonkey-Toplines-and-Methodology-1031-11-6?secret_password=RZmAhM5A4ukrIpXPn0p8","Nonpartisan","None","If the 2016 presidential election were being held today among the following candidates for whom would you vote?",2,NA,NA
"42","--","Politico/Morning Consult","2016-11-04","2016-11-05","2016-11-06T12:47:24Z",1482,"Likely Voters","Internet",42,45,4,0,"http://elections.huffingtonpost.com/pollster/polls/politico-morning-consult-26751","https://morningconsult.com/2016/11/06/final-2016-poll-morning-consult/","Nonpartisan","None","",1,NA,NA
"43","--","Politico/Morning Consult","2016-11-04","2016-11-05","2016-11-06T12:47:24Z",571,"Likely Voters - Democrat","Internet",8,87,2,0,"http://elections.huffingtonpost.com/pollster/polls/politico-morning-consult-26751","https://morningconsult.com/2016/11/06/final-2016-poll-morning-consult/","Nonpartisan","None","",1,NA,NA
"44","--","Politico/Morning Consult","2016-11-04","2016-11-05","2016-11-06T12:47:24Z",495,"Likely Voters - Republican","Internet",85,9,1,0,"http://elections.huffingtonpost.com/pollster/polls/politico-morning-consult-26751","https://morningconsult.com/2016/11/06/final-2016-poll-morning-consult/","Nonpartisan","None","",1,NA,NA
"45","--","Politico/Morning Consult","2016-11-04","2016-11-05","2016-11-06T12:47:24Z",416,"Likely Voters - independent","Internet",39,32,10,1,"http://elections.huffingtonpost.com/pollster/polls/politico-morning-consult-26751","https://morningconsult.com/2016/11/06/final-2016-poll-morning-consult/","Nonpartisan","None","",1,NA,NA
"46","--","NBC/WSJ","2016-11-03","2016-11-05","2016-11-06T14:21:45Z",1282,"Likely Voters","Live Phone",40,44,5,5,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-26753","https://www.scribd.com/document/330193949/161256-NBCWSJ-November-Poll-final","Nonpartisan","None","If the next election for president were held today, with Donald Trump as the Republican candidate, Hillary Clinton as the Democratic candidate, Gary Johnson the Libertarian candidate, and Jill Stein the Green Party candidate for whom would you vote?",1,NA,NA
"47","--","Franklin Pierce/RKM/Boston Herald","2016-11-01","2016-11-05","2016-11-07T12:53:13Z",1009,"Likely Voters","Live Phone",44,48,3,1,"http://elections.huffingtonpost.com/pollster/polls/franklin-pierce-rkm-boston-herald-26775","http://www.bostonherald.com/news/local_coverage/herald_bulldog/2016/11/fpuherald_poll_20_on_both_sides_wont_accept_rivals_win","Nonpartisan","None","",1,NA,NA
"48","--","Franklin Pierce/RKM/Boston Herald","2016-11-01","2016-11-05","2016-11-07T12:53:13Z",474,"Likely Voters - Democrat","Live Phone",12,82,4,1,"http://elections.huffingtonpost.com/pollster/polls/franklin-pierce-rkm-boston-herald-26775","http://www.bostonherald.com/news/local_coverage/herald_bulldog/2016/11/fpuherald_poll_20_on_both_sides_wont_accept_rivals_win","Nonpartisan","None","",1,NA,NA
"49","--","Franklin Pierce/RKM/Boston Herald","2016-11-01","2016-11-05","2016-11-07T12:53:13Z",418,"Likely Voters - Republican","Live Phone",79,14,1,1,"http://elections.huffingtonpost.com/pollster/polls/franklin-pierce-rkm-boston-herald-26775","http://www.bostonherald.com/news/local_coverage/herald_bulldog/2016/11/fpuherald_poll_20_on_both_sides_wont_accept_rivals_win","Nonpartisan","None","",1,NA,NA
"50","--","Franklin Pierce/RKM/Boston Herald","2016-11-01","2016-11-05","2016-11-07T12:53:13Z",106,"Likely Voters - independent","Live Phone",54,29,4,3,"http://elections.huffingtonpost.com/pollster/polls/franklin-pierce-rkm-boston-herald-26775","http://www.bostonherald.com/news/local_coverage/herald_bulldog/2016/11/fpuherald_poll_20_on_both_sides_wont_accept_rivals_win","Nonpartisan","None","",1,NA,NA
"51","--","Angus Reid/MARU-Matchbox","2016-11-01","2016-11-04","2016-11-07T20:44:02Z",1113,"Likely Voters","Internet",44,48,2,NA,"http://elections.huffingtonpost.com/pollster/polls/angus-reid-maru-matchbox-26804","http://angusreid.org/wp-content/uploads/2016/11/2016.11.04-US-Horserace.pdf","Nonpartisan","None","Which one of the following candidates are you most likely to support on Election Day?",1,NA,NA
"52","--","McClatchy/Marist","2016-11-01","2016-11-03","2016-11-05T15:16:08Z",940,"Likely Voters","Live Phone",44,46,8,2,"http://elections.huffingtonpost.com/pollster/polls/mcclatchy-marist-26734","http://maristpoll.marist.edu/114-mcclatchy-marist-poll/?utm_source=feedburner&utm_medium=email&utm_campaign=Feed%3A+PebblesAndPundits+%28Pebbles+and+Pundits%29","Nonpartisan","None","If next  week's (November's) presidential election were held today, whom would you support if the candidates are:",1,NA,NA
"53","--","McClatchy/Marist","2016-11-01","2016-11-03","2016-11-05T15:16:08Z",NA,"Likely Voters - Democrat","Live Phone",7,90,3,0,"http://elections.huffingtonpost.com/pollster/polls/mcclatchy-marist-26734","http://maristpoll.marist.edu/114-mcclatchy-marist-poll/?utm_source=feedburner&utm_medium=email&utm_campaign=Feed%3A+PebblesAndPundits+%28Pebbles+and+Pundits%29","Nonpartisan","None","If next  week's (November's) presidential election were held today, whom would you support if the candidates are:",1,NA,NA
"54","--","McClatchy/Marist","2016-11-01","2016-11-03","2016-11-05T15:16:08Z",NA,"Likely Voters - Republican","Live Phone",92,3,3,1,"http://elections.huffingtonpost.com/pollster/polls/mcclatchy-marist-26734","http://maristpoll.marist.edu/114-mcclatchy-marist-poll/?utm_source=feedburner&utm_medium=email&utm_campaign=Feed%3A+PebblesAndPundits+%28Pebbles+and+Pundits%29","Nonpartisan","None","If next  week's (November's) presidential election were held today, whom would you support if the candidates are:",1,NA,NA
"55","--","McClatchy/Marist","2016-11-01","2016-11-03","2016-11-05T15:16:08Z",NA,"Likely Voters - independent","Live Phone",41,38,17,4,"http://elections.huffingtonpost.com/pollster/polls/mcclatchy-marist-26734","http://maristpoll.marist.edu/114-mcclatchy-marist-poll/?utm_source=feedburner&utm_medium=email&utm_campaign=Feed%3A+PebblesAndPundits+%28Pebbles+and+Pundits%29","Nonpartisan","None","If next  week's (November's) presidential election were held today, whom would you support if the candidates are:",1,NA,NA
"56","--","McClatchy/Marist","2016-11-01","2016-11-03","2016-11-05T15:16:08Z",940,"Likely Voters","Live Phone",43,44,5,2,"http://elections.huffingtonpost.com/pollster/polls/mcclatchy-marist-26734","http://maristpoll.marist.edu/114-mcclatchy-marist-poll/?utm_source=feedburner&utm_medium=email&utm_campaign=Feed%3A+PebblesAndPundits+%28Pebbles+and+Pundits%29","Nonpartisan","None","If November's presidential election were held today, whom would you support if the candidates are:",2,NA,NA
"57","--","McClatchy/Marist","2016-11-01","2016-11-03","2016-11-05T15:16:08Z",NA,"Likely Voters - Democrat","Live Phone",7,89,1,0,"http://elections.huffingtonpost.com/pollster/polls/mcclatchy-marist-26734","http://maristpoll.marist.edu/114-mcclatchy-marist-poll/?utm_source=feedburner&utm_medium=email&utm_campaign=Feed%3A+PebblesAndPundits+%28Pebbles+and+Pundits%29","Nonpartisan","None","If November's presidential election were held today, whom would you support if the candidates are:",2,NA,NA
"58","--","McClatchy/Marist","2016-11-01","2016-11-03","2016-11-05T15:16:08Z",NA,"Likely Voters - Republican","Live Phone",92,2,1,1,"http://elections.huffingtonpost.com/pollster/polls/mcclatchy-marist-26734","http://maristpoll.marist.edu/114-mcclatchy-marist-poll/?utm_source=feedburner&utm_medium=email&utm_campaign=Feed%3A+PebblesAndPundits+%28Pebbles+and+Pundits%29","Nonpartisan","None","If November's presidential election were held today, whom would you support if the candidates are:",2,NA,NA
"59","--","McClatchy/Marist","2016-11-01","2016-11-03","2016-11-05T15:16:08Z",NA,"Likely Voters - independent","Live Phone",39,33,11,5,"http://elections.huffingtonpost.com/pollster/polls/mcclatchy-marist-26734","http://maristpoll.marist.edu/114-mcclatchy-marist-poll/?utm_source=feedburner&utm_medium=email&utm_campaign=Feed%3A+PebblesAndPundits+%28Pebbles+and+Pundits%29","Nonpartisan","None","If November's presidential election were held today, whom would you support if the candidates are:",2,NA,NA
"60","--","Lucid/The Times-Picayune","2016-11-01","2016-11-03","2016-11-04T18:56:13Z",873,"Likely Voters","Internet",39,44,2,10,"http://elections.huffingtonpost.com/pollster/polls/lucid-the-times-picayune-26717","https://luc.id/2016-presidential-tracker/","Nonpartisan","None","",1,NA,NA
"61","--","IBD/TIPP","2016-10-30","2016-11-03","2016-11-04T11:48:24Z",898,"Likely Voters","Live Phone",44,44,4,5,"http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-26691","http://www.investors.com/politics/ibd-tipp-presidential-election-poll/","Nonpartisan","None","",1,NA,NA
"62","--","ABC/Post","2016-10-30","2016-11-02","2016-11-04T11:45:19Z",1151,"Likely Voters","Live Phone",44,47,4,2,"http://elections.huffingtonpost.com/pollster/polls/abc-post-26690","http://abcnews.go.com/Politics/hint-momentum-clinton-issues-defining-factor-poll/story?id=43281152","Nonpartisan","None","",1,NA,NA
"63","--","YouGov/Economist","2016-10-30","2016-11-01","2016-11-02T14:26:40Z",1233,"Likely Voters","Internet",43,46,4,4,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-26618","https://today.yougov.com/news/2016/11/02/yougoveconomist-poll-october-30-november-1-2016/","Nonpartisan","None","If the 2016 presidential election were being held today and the candidates were Hillary Clinton, the Democrat, Donald Trump, the Republican, Gary Johson, the Libertarian, and Jill Stein, from the Green Party, who would you vote for?",1,NA,NA
"64","--","YouGov/Economist","2016-10-30","2016-11-01","2016-11-02T14:26:40Z",523,"Likely Voters - Democrat","Internet",5,90,2,3,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-26618","https://today.yougov.com/news/2016/11/02/yougoveconomist-poll-october-30-november-1-2016/","Nonpartisan","None","If the 2016 presidential election were being held today and the candidates were Hillary Clinton, the Democrat, Donald Trump, the Republican, Gary Johson, the Libertarian, and Jill Stein, from the Green Party, who would you vote for?",1,NA,NA
"65","--","YouGov/Economist","2016-10-30","2016-11-01","2016-11-02T14:26:40Z",268,"Likely Voters - Republican","Internet",89,5,3,1,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-26618","https://today.yougov.com/news/2016/11/02/yougoveconomist-poll-october-30-november-1-2016/","Nonpartisan","None","If the 2016 presidential election were being held today and the candidates were Hillary Clinton, the Democrat, Donald Trump, the Republican, Gary Johson, the Libertarian, and Jill Stein, from the Green Party, who would you vote for?",1,NA,NA
"66","--","YouGov/Economist","2016-10-30","2016-11-01","2016-11-02T14:26:40Z",442,"Likely Voters - independent","Internet",51,28,5,7,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-26618","https://today.yougov.com/news/2016/11/02/yougoveconomist-poll-october-30-november-1-2016/","Nonpartisan","None","If the 2016 presidential election were being held today and the candidates were Hillary Clinton, the Democrat, Donald Trump, the Republican, Gary Johson, the Libertarian, and Jill Stein, from the Green Party, who would you vote for?",1,NA,NA
"67","--","Rasmussen","2016-10-30","2016-11-01","2016-11-02T12:36:26Z",1500,"Likely Voters","IVR/Online",44,44,4,4,"http://elections.huffingtonpost.com/pollster/polls/rasmussen-26615","http://www.rasmussenreports.com/platinum/political_tracking_crosstabs/october_2016/crosstabs_election_2016_white_house_watch_october_30_31_november_1_2016","Nonpartisan","None","If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?",1,NA,NA
"68","--","CBS/Times","2016-10-28","2016-11-01","2016-11-03T12:15:46Z",1333,"Likely Voters","Live Phone",44,47,5,5,"http://elections.huffingtonpost.com/pollster/polls/cbs-times-26647","https://www.scribd.com/document/329861949/CBS-News-New-York-Times-Poll-Nov-3-2016#from_embed","Nonpartisan","None","",1,NA,NA
"69","--","CBS/Times","2016-10-28","2016-11-01","2016-11-03T12:15:46Z",NA,"Likely Voters - Democrat","Live Phone",8,87,1,3,"http://elections.huffingtonpost.com/pollster/polls/cbs-times-26647","https://www.scribd.com/document/329861949/CBS-News-New-York-Times-Poll-Nov-3-2016#from_embed","Nonpartisan","None","",1,NA,NA
"70","--","CBS/Times","2016-10-28","2016-11-01","2016-11-03T12:15:46Z",NA,"Likely Voters - Republican","Live Phone",83,8,5,5,"http://elections.huffingtonpost.com/pollster/polls/cbs-times-26647","https://www.scribd.com/document/329861949/CBS-News-New-York-Times-Poll-Nov-3-2016#from_embed","Nonpartisan","None","",1,NA,NA
"71","--","CBS/Times","2016-10-28","2016-11-01","2016-11-03T12:15:46Z",NA,"Likely Voters - independent","Live Phone",46,39,9,6,"http://elections.huffingtonpost.com/pollster/polls/cbs-times-26647","https://www.scribd.com/document/329861949/CBS-News-New-York-Times-Poll-Nov-3-2016#from_embed","Nonpartisan","None","",1,NA,NA
